"omega","psi","vx","vy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.4522098e-22,-0.00023491804,-0.0040866569,-7.8929324e-07,1,0.057999998,0.5,0.057999998,0
9.8066378e-22,-0.00023898327,-0.0040880237,-8.8162017e-07,1,0.059,0.5,0.059,0
1.0161065e-21,-0.00024304849,-0.0040893905,-9.7394676e-07,1,0.059999999,0.5,0.059999999,0
9.9967516e-22,-0.00024711854,-0.0040908929,-1.032333e-06,1,0.061000001,0.5,0.061000001,0
7.1867961e-22,-0.00025121315,-0.0040930866,-9.1761731e-07,1,0.061999999,0.5,0.061999999,0
4.3768303e-22,-0.00025530777,-0.0040952803,-8.0290119e-07,1,0.063000001,0.5,0.063000001,0
1.5668644e-22,-0.00025940239,-0.0040974741,-6.8818508e-07,1,0.064000003,0.5,0.064000003,0
-1.2430806e-22,-0.00026349699,-0.0040996678,-5.7346981e-07,1,0.064999998,0.5,0.064999998,0
-4.0530464e-22,-0.00026759161,-0.0041018616,-4.587537e-07,1,0.066,0.5,0.066,0
-5.923879e-22,-0.00027172064,-0.0041052096,-7.09502e-07,1,0.067000002,0.5,0.067000002,0
-7.6534749e-22,-0.00027585484,-0.0041087311,-1.0152127e-06,1,0.068000004,0.5,0.068000004,0
-9.3830579e-22,-0.00027998902,-0.0041122527,-1.320921e-06,1,0.068999998,0.5,0.068999998,0
-1.1112654e-21,-0.00028412322,-0.0041157743,-1.6266317e-06,1,0.07,0.5,0.07,0
-1.284225e-21,-0.00028825743,-0.0041192959,-1.9323424e-06,1,0.071000002,0.5,0.071000002,0
-1.4571833e-21,-0.0002923916,-0.0041228174,-2.2380507e-06,1,0.071999997,0.5,0.071999997,0
-1.6301429e-21,-0.0002965258,-0.004126339,-2.5437614e-06,1,0.072999999,0.5,0.072999999,0
-1.8031025e-21,-0.00030066001,-0.0041298606,-2.8494721e-06,1,0.074000001,0.5,0.074000001,0
-1.976062e-21,-0.00030479421,-0.0041333822,-3.1551827e-06,1,0.075000003,0.5,0.075000003,0
-2.1490203e-21,-0.00030892839,-0.0041369038,-3.4608911e-06,1,0.075999998,0.5,0.075999998,0
-2.3219799e-21,-0.00031306259,-0.0041404254,-3.7666018e-06,1,0.077,0.5,0.077,0
-2.4949395e-21,-0.0003171968,-0.0041439469,-4.0723124e-06,1,0.078000002,0.5,0.078000002,0
-2.6678991e-21,-0.000321331,-0.0041474685,-4.3780231e-06,1,0.079000004,0.5,0.079000004,0
-2.8408574e-21,-0.00032546517,-0.0041509901,-4.6837315e-06,1,0.079999998,0.5,0.079999998,0
-3.013817e-21,-0.00032959938,-0.0041545117,-4.9894421e-06,1,0.081,0.5,0.081,0
-3.1867766e-21,-0.00033373358,-0.0041580333,-5.2951528e-06,1,0.082000002,0.5,0.082000002,0
-3.3597349e-21,-0.00033786776,-0.0041615548,-5.6008611e-06,1,0.082999997,0.5,0.082999997,0
-3.5326945e-21,-0.00034200196,-0.0041650764,-5.9065718e-06,1,0.083999999,0.5,0.083999999,0
-3.7056541e-21,-0.00034613617,-0.004168598,-6.2122825e-06,1,0.085000001,0.5,0.085000001,0
-3.62104e-21,-0.00035030546,-0.0041723414,-6.6697451e-06,1,0.086000003,0.5,0.086000003,0
-3.2194792e-21,-0.00035451791,-0.0041763576,-7.3139367e-06,1,0.086999997,0.5,0.086999997,0
-2.8179154e-21,-0.00035873039,-0.0041803739,-7.9581331e-06,1,0.088,0.5,0.088,0
-2.4163517e-21,-0.00036294287,-0.0041843901,-8.6023295e-06,1,0.089000002,0.5,0.089000002,0
-2.0147879e-21,-0.00036715535,-0.0041884064,-9.2465259e-06,1,0.090000004,0.5,0.090000004,0
-1.6132272e-21,-0.0003713678,-0.0041924226,-9.8907175e-06,1,0.090999998,0.5,0.090999998,0
-1.2116634e-21,-0.00037558028,-0.0041964389,-1.0534914e-05,1,0.092,0.5,0.092,0
-8.1009969e-22,-0.00037979276,-0.0042004552,-1.117911e-05,1,0.093000002,0.5,0.093000002,0
-4.0853894e-22,-0.00038400521,-0.0042044714,-1.1823302e-05,1,0.093999997,0.5,0.093999997,0
