"omega","psi","vx","vy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.0045047,-0.0028249398,-0.018205789,0.094001786,1,0.068000004,0.068000004,0.5,0
1.9743528,-0.0029340096,-0.018766535,0.095735091,1,0.068999998,0.068999998,0.5,0
1.9442007,-0.0030430802,-0.019327285,0.097468409,1,0.07,0.07,0.5,0
1.9140486,-0.0031521508,-0.019888035,0.099201727,1,0.071000002,0.071000002,0.5,0
1.8838967,-0.0032612206,-0.020448781,0.10093503,1,0.071999997,0.071999997,0.5,0
1.8537446,-0.0033702912,-0.021009531,0.10266835,1,0.072999999,0.072999999,0.5,0
1.8235925,-0.0034793618,-0.021570282,0.10440167,1,0.074000001,0.074000001,0.5,0
1.7934404,-0.0035884324,-0.022131032,0.10613498,1,0.075000003,0.075000003,0.5,0
1.7632885,-0.0036975022,-0.022691778,0.10786829,1,0.075999998,0.075999998,0.5,0
1.7331364,-0.0038065729,-0.023252528,0.10960161,1,0.077,0.077,0.5,0
1.7029843,-0.0039156435,-0.023813278,0.11133492,1,0.078000002,0.078000002,0.5,0
1.6728322,-0.0040247141,-0.024374028,0.11306824,1,0.079000004,0.079000004,0.5,0
1.6426803,-0.0041337839,-0.024934774,0.11480155,1,0.079999998,0.079999998,0.5,0
1.6125282,-0.0042428545,-0.025495524,0.11653486,1,0.081,0.081,0.5,0
1.5823761,-0.0043519251,-0.026056274,0.11826818,1,0.082000002,0.082000002,0.5,0
1.5522242,-0.0044609949,-0.02661702,0.12000149,1,0.082999997,0.082999997,0.5,0
1.5220721,-0.0045700655,-0.02717777,0.12173481,1,0.083999999,0.083999999,0.5,0
1.49192,-0.0046791362,-0.027738521,0.12346812,1,0.085000001,0.085000001,0.5,0
1.4506105,-0.0048013353,-0.02817693,0.12461669,1,0.086000003,0.086000003,0.5,0
1.4059188,-0.0049275137,-0.028578247,0.12558796,1,0.086999997,0.086999997,0.5,0
1.3612268,-0.0050536931,-0.028979566,0.12655925,1,0.088,0.088,0.5,0
1.3165347,-0.0051798724,-0.029380886,0.12753053,1,0.089000002,0.089000002,0.5,0
1.2718427,-0.0053060517,-0.029782206,0.12850182,1,0.090000004,0.090000004,0.5,0
1.227151,-0.0054322301,-0.030183522,0.12947309,1,0.090999998,0.090999998,0.5,0
1.1824589,-0.0055584095,-0.030584842,0.13044438,1,0.092,0.092,0.5,0
1.1377669,-0.0056845888,-0.030986161,0.13141566,1,0.093000002,0.093000002,0.5,0
1.0930752,-0.0058107672,-0.031387478,0.13238694,1,0.093999997,0.093999997,0.5,0
1.0483831,-0.0059369465,-0.031788798,0.13335822,1,0.094999999,0.094999999,0.5,0
1.0036911,-0.0060631259,-0.032190117,0.13432951,1,0.096000001,0.096000001,0.5,0
0.96441919,-0.0061924515,-0.032587694,0.13532337,1,0.097000003,0.097000003,0.5,0
0.95612799,-0.0063397596,-0.03296387,0.13644627,1,0.097999997,0.097999997,0.5,0
0.94783672,-0.0064870688,-0.033340049,0.13756918,1,0.098999999,0.098999999,0.5,0
0.93954546,-0.006634378,-0.033716228,0.13869209,1,0.1,0.1,0.5,0
0.93125419,-0.0067816872,-0.034092408,0.139815,1,0.101,0.101,0.5,0
0.92296298,-0.0069289953,-0.034468584,0.1409379,1,0.102,0.102,0.5,0
0.91467172,-0.0070763045,-0.034844763,0.14206081,1,0.103,0.103,0.5,0
0.90638045,-0.0072236137,-0.035220942,0.14318372,1,0.104,0.104,0.5,0
0.89808924,-0.0073709218,-0.035597119,0.14430662,1,0.105,0.105,0.5,0
0.88979798,-0.007518231,-0.035973298,0.14542953,1,0.106,0.106,0.5,0
0.87989732,-0.007665867,-0.036397156,0.14648074,1,0.107,0.107,0.5,0
0.86213921,-0.0078150986,-0.037053798,0.14718188,1,0.108,0.108,0.5,0
0.84438123,-0.007964329,-0.037710434,0.14788301,1,0.109,0.109,0.5,0
0.82662312,-0.0081135606,-0.038367076,0.14858416,1,0.11,0.11,0.5,0
0.80886501,-0.0082627922,-0.039023718,0.1492853,1,0.111,0.111,0.5,0
0.7911069,-0.0084120237,-0.039680359,0.14998644,1,0.112,0.112,0.5,0
0.77334892,-0.0085612542,-0.040336996,0.15068757,1,0.113,0.113,0.5,0
0.75559081,-0.0087104857,-0.040993637,0.15138872,1,0.114,0.114,0.5,0
0.73783269,-0.0088597173,-0.041650279,0.15208986,1,0.115,0.115,0.5,0
0.72007471,-0.0090089477,-0.042306915,0.15279099,1,0.116,0.116,0.5,0
0.7023166,-0.0091581793,-0.042963557,0.15349213,1,0.117,0.117,0.5,0
0.68455849,-0.0093074108,-0.043620198,0.15419328,1,0.118,0.118,0.5,0
0.66680038,-0.0094566424,-0.04427684,0.15489442,1,0.119,0.119,0.5,0
0.6490424,-0.0096058728,-0.044933477,0.15559555,1,0.12,0.12,0.5,0
0.63128429,-0.0097551044,-0.045590118,0.15629669,1,0.121,0.121,0.5,0
0.61352618,-0.009904336,-0.04624676,0.15699784,1,0.122,0.122,0.5,0
0.59576806,-0.010053568,-0.046903401,0.15769898,1,0.123,0.123,0.5,0
0.57801008,-0.010202798,-0.047560038,0.15840011,1,0.124,0.124,0.5,0
0.56025197,-0.01035203,-0.048216679,0.15910125,1,0.125,0.125,0.5,0
0.53533881,-0.010511483,-0.048839349,0.15976186,1,0.126,0.126,0.5,0
0.50364751,-0.010680621,-0.049429838,0.16038407,1,0.127,0.127,0.5,0
